node_id,cpu_usage,memory_usage,gpu_usage,error_count,task_count,queue_length,will_fail
39,47.31171996789786,91.3040338547374,83.7789866944435,2,4,13,1
52,6.383879701371495,26.45331683758321,12.360177939506112,2,14,12,0
29,28.50297597054285,56.970815405869494,61.94068295636722,3,23,14,1
15,87.29778141830722,95.72768491526298,27.125332305927124,0,22,4,0
43,20.63970068457353,52.18708232119244,30.081508803262636,2,23,1,0
8,44.4368692557985,42.38989291384701,88.0461805592193,3,17,0,0
21,6.361436057365119,50.90862593423933,15.860945832114211,1,12,12,0
39,50.441870758702805,80.0704973474347,62.14156288798914,1,15,2,0
58,6.997005138990629,50.34137509065735,43.119275823005864,2,22,10,0
19,82.86290754125099,79.4113797218251,23.126056964877513,1,12,9,0
23,83.36110791127484,46.01125733588863,47.93221714995293,0,3,4,0
11,79.83550788872513,28.94053876508137,94.34648227508218,1,10,8,1
11,31.91958654465623,36.01490933276896,79.25295467690246,3,20,6,0
24,84.53753573107272,12.393229140530764,17.55058312954836,2,17,5,0
53,56.58482259750058,52.25120871888126,85.69582527317648,0,14,8,0
36,40.51177034236523,19.070537864457187,94.0568502538071,1,13,13,0
40,64.40634617190213,82.09696560179962,31.31160668000969,7,13,13,0
24,6.17239937573553,44.956104544904946,36.67487107395803,0,8,5,0
3,18.581283372071457,77.67522077921369,16.99944302909522,0,14,10,0
22,75.51788612617496,95.67374061617018,37.7693099200655,0,2,3,0
53,28.195352828034537,85.70040522275742,68.94837572826317,0,19,6,0
2,61.81086614623121,95.38904957585288,30.854726434145434,5,23,12,1
24,41.58474726818782,58.95397005271938,5.648376022857399,3,2,1,0
44,86.20654898592984,20.70582122815148,37.16174152517979,3,12,1,0
30,95.47945406968114,93.86261564745156,48.051532752029594,2,20,5,1
38,88.93864919516808,87.50791710669323,58.80382355496738,3,12,12,1
2,30.70889949589168,87.1192341513582,69.96338491401187,2,23,4,0
21,23.445472559377816,70.86107060382825,10.86951270173316,0,19,5,0
33,50.07131489396983,64.36704490767755,49.626434803446905,0,16,1,0
12,5.696744329437126,6.398769726826492,30.30443395498175,1,2,1,0
58,7.451892322002265,76.06513656337104,95.05710872672726,3,8,0,0
22,57.56261076418501,13.695836160866545,39.19035843042264,3,2,1,0
44,54.442693395702165,29.676338929744706,14.511751378387686,1,10,13,0
25,99.4852889583497,57.391578058377,8.941691623299254,3,16,10,0
49,24.17497435955702,47.914595563223955,30.213559321516115,2,7,9,0
27,29.5198732702445,6.498567028287367,21.99348019385105,3,19,6,0
59,15.786361020997235,83.27858055291267,66.73096455348056,2,20,1,0
42,92.16658591710576,88.48609101816301,85.46182146222516,2,22,2,1
28,78.89206822355283,69.77792963219285,34.693076829674936,2,3,10,0
16,83.12221558840051,56.40144657239813,59.89018822124659,2,17,12,0
15,90.76255985662831,96.2700946954498,74.37900131320005,2,8,5,1
47,54.865498738954635,16.395839736078234,42.85633046823682,1,4,5,0
51,47.863353187818745,75.10145509817396,11.30093307711642,1,1,9,0
44,36.387189998233566,17.194258225043797,26.7725665381396,0,18,10,0
55,60.97538836304627,41.27525589772449,88.89125176842491,2,22,8,0
52,48.15644769503314,60.62102837124298,83.32562529421502,2,1,11,0
57,47.89873072752964,75.02333059791347,13.22059023827212,1,9,10,0
3,94.0081470544582,5.353029525838479,26.27512871988788,1,14,11,0
37,98.48299385651735,29.756799205318735,78.0707018017154,0,7,14,1
51,80.66601698631017,56.12903718393293,51.160332038937895,2,8,14,1
7,76.89201857345819,55.62299952034317,77.19686801109381,1,8,1,1
21,69.65302536901464,65.57451131989508,25.053784807903916,3,22,14,1
9,20.777110971683804,33.86609018248113,95.5063232211761,1,24,6,0
39,10.61505298318718,56.35027885344889,79.44270763599043,5,23,0,0
18,70.61899993576,23.029743856284757,23.757970858470763,3,1,5,0
4,74.23469111437471,22.75286036832827,58.052674064598946,1,3,8,0
25,9.46243415432328,59.773576525147654,15.744227169144494,3,9,7,0
14,93.16491627174057,70.1198955793074,39.336307437017744,1,8,5,1
50,13.658360747244366,16.437996834722355,67.66403000517447,4,5,12,0
58,32.160550708264225,16.665040680901217,36.36213035323331,1,1,5,0
9,68.87703221587692,58.70375568874279,67.39204759700695,1,2,5,0
26,21.13789646842525,30.65909646694633,28.254049142772384,7,10,14,0
53,10.26450940201322,42.27791471290587,73.51464415064136,1,14,7,0
2,36.45891647059423,43.0711025265199,39.161009522393265,3,15,12,0
20,77.76729961124201,21.962521632067055,80.09572073658653,0,10,1,1
28,44.29947450359973,5.124890175909512,17.985541898192288,0,9,10,0
47,67.03242758125424,86.04942194705569,39.387905188467094,1,12,8,0
7,60.06381423667298,72.92518704528038,49.073583108594995,0,10,9,0
44,7.1107557924301386,70.60116302097873,45.265324827554785,2,24,7,0
8,98.91129876934214,56.91798812076537,46.1439779294323,2,9,1,1
47,8.935668437841837,71.59211718492143,47.256316667781896,2,18,13,0
35,96.94126007660608,93.89039586702444,98.93633489710189,5,19,10,1
14,57.237096944617825,68.23900494178265,23.3499248106172,2,19,7,0
17,96.50010757118132,30.183683183107743,78.0230638983174,1,17,0,1
36,15.901591944314369,59.20320491538531,57.419934205132506,3,2,5,0
50,51.58880932262375,47.02081831978997,44.294699720436135,3,10,5,0
40,21.10288872727557,57.8598174556542,65.18522813165012,2,5,8,0
4,9.84261331713203,54.17299535421838,86.08548709448137,2,7,8,0
2,63.665265930919595,86.58365209670417,49.33064457554317,1,6,4,0
6,24.73942499136069,66.92100982120137,87.15613005130143,1,2,0,0
54,60.831216737316865,22.932055403739874,13.910841821109738,2,8,11,0
42,15.674625785153635,10.986593993160229,67.0430010893444,2,4,13,0
