node_id,avg_risk_score,max_risk_score,num_instances,actual_failure_rate
148,2.4635205013554624,8.400346674554516,34,0.0
1643,4.478201992499417,22.881907533766018,191,0.020942408376963352
1132,7.576292528231377,10.483304337511418,7,0.14285714285714285
77,7.7596901974614765,88.05518600112421,94,0.05319148936170213
332,8.1686272497599,91.34665133385408,78,0.038461538461538464
163,8.904635464645164,89.6032913760483,84,0.05952380952380952
856,9.003314177493943,83.00953017519707,178,0.08426966292134831
532,9.764613374818198,86.82231187699847,111,0.07207207207207207
1086,9.792436198770687,83.79550559480315,91,0.08791208791208792
881,10.100015918449225,83.62839911537004,57,0.08771929824561403
872,10.218172949750773,88.3103663416159,163,0.12269938650306748
1307,10.373568293885299,86.79986614881314,108,0.10185185185185185
1099,10.43039897957306,92.68802404900717,136,0.11029411764705882
1300,10.43289373141358,85.57862978282394,160,0.10625
1502,10.503183221139437,94.00314177039462,477,0.17819706498951782
178,10.693194154686479,96.3355041458359,171,0.09941520467836257
699,10.799761472946884,87.05656681360688,161,0.07453416149068323
478,10.810115647327727,85.7194221898897,114,0.09649122807017543
1324,10.81865877339631,96.15869709804818,275,0.09090909090909091
186,10.90769092471105,87.41680297913965,134,0.1044776119402985
1431,11.000822688366963,85.66275358279822,159,0.11320754716981132
1625,11.021380631544766,82.88220876177034,93,0.07526881720430108
1412,11.045950670049779,88.02174571589507,283,0.10247349823321555
431,11.110746575876915,88.08891370401403,105,0.05714285714285714
248,11.112812317756434,79.49405903167458,113,0.08849557522123894
414,11.285176557068683,84.8256403588487,199,0.1306532663316583
128,11.35991720423569,94.72356009561565,149,0.11409395973154363
150,11.374376372436984,91.28266828088462,162,0.1111111111111111
298,11.452394283847987,88.07503134317147,186,0.08602150537634409
1662,11.48901894528654,96.3355041458359,121,0.09917355371900827
1019,11.519144185539574,83.31036427232642,95,0.09473684210526316
10,11.525307800268733,81.86259804657506,204,0.058823529411764705
916,11.54873975092809,86.52746683580887,142,0.1056338028169014
1511,11.64876488227283,92.43658997985204,579,0.0846286701208981
1234,11.67262713233446,96.43818406324732,244,0.0860655737704918
1382,11.773970542830215,86.75375640784748,204,0.10784313725490197
67,11.878277632468068,86.90179091133197,113,0.07964601769911504
1313,11.969567272477088,88.37465053263575,128,0.1171875
449,12.018391747164015,94.62004725844434,151,0.08609271523178808
199,12.10530609351768,88.56508270722297,184,0.10869565217391304
109,12.233484206880034,96.06597973763886,233,0.08583690987124463
1598,12.27431135633364,87.22345094765241,130,0.08461538461538462
334,12.278517697755108,96.49632249633319,164,0.12195121951219512
1355,12.32136574900702,96.49632249633319,223,0.11210762331838565
555,12.378060777540984,91.83994323398332,428,0.09345794392523364
1185,12.393927140387998,89.37004576255237,433,0.09699769053117784
283,12.440918211536365,91.21291173509223,229,0.1222707423580786
78,12.446340507802944,78.49741637948196,167,0.08383233532934131
978,12.465500223458582,89.51064218585255,122,0.10655737704918032
530,12.501261774992328,89.7390761659592,91,0.17582417582417584
1043,12.55330171094898,95.36816782007122,190,0.1
1294,12.57015923537767,83.47198238132677,104,0.09615384615384616
877,12.584525352309745,85.68213663129315,272,0.10294117647058823
1671,12.595216561232762,92.79395376241038,288,0.0763888888888889
814,12.596937528274946,86.34267945826211,167,0.10179640718562874
1058,12.598661542912943,76.40965948635794,162,0.10493827160493827
1408,12.61352379798175,95.8185099941296,337,0.09495548961424333
837,12.655391592859456,81.27713673338316,218,0.0963302752293578
1366,12.679753551720694,86.70324172982417,119,0.12605042016806722
40,12.697285631490884,87.87735415035047,228,0.10526315789473684
1060,12.734612547003522,83.13411043842454,169,0.10059171597633136
1167,12.745903181602735,82.94494430281885,211,0.07582938388625593
1288,12.753371422989794,83.39149678878456,190,0.11052631578947368
269,12.755654106530336,92.3302162352283,271,0.1033210332103321
1371,12.821460855290661,92.01717605818732,147,0.14965986394557823
1007,12.829251152020108,91.05742676933146,108,0.12962962962962962
882,12.863358696332407,90.73504255568665,143,0.15384615384615385
1445,12.874202068708597,84.58514426348309,64,0.0625
304,12.875949833790878,86.57198644834469,97,0.09278350515463918
452,12.894396991395972,91.98893964455233,275,0.10909090909090909
1362,12.895255935591601,64.82384602564434,10,0.1
96,12.90422871211334,78.6877362406719,170,0.09411764705882353
1175,12.953648285646333,92.2597369263053,131,0.183206106870229
1596,12.975237146186238,96.3355041458359,192,0.11458333333333333
